0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Systematic_name,Variant
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,PKG1,pfa3,PKG1_T,PKG1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,PKG1,pfa3,PKG1_T,PKG1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1)",1
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,PKG1,pfa3,PKG1_T,ADH1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1)",2
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,PKG1,pfa3,PKG1_T,ADH1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1)",3
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,PKG1,pfa3,ADH1_T,PKG1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1)",4
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,PKG1,pfa3,ADH1_T,PKG1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1)",5
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,PKG1,pfa3,ADH1_T,ADH1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1)",6
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,PKG1,pfa3,ADH1_T,ADH1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1)",7
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,ADH1,pfa3,PKG1_T,PKG1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1)",8
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,ADH1,pfa3,PKG1_T,PKG1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1)",9
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,ADH1,pfa3,PKG1_T,ADH1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1)",10
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,ADH1,pfa3,PKG1_T,ADH1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1)",11
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,ADH1,pfa3,ADH1_T,PKG1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1)",12
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,ADH1,pfa3,ADH1_T,PKG1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1)",13
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,ADH1,pfa3,ADH1_T,ADH1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1)",14
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,PKG1_T,ADH1,pfa3,ADH1_T,ADH1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1)",15
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,ADH1_T,PKG1,pfa3,PKG1_T,PKG1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",16
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,ADH1_T,PKG1,pfa3,PKG1_T,PKG1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1)",17
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,ADH1_T,PKG1,pfa3,PKG1_T,ADH1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1)",18
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,ADH1_T,PKG1,pfa3,PKG1_T,ADH1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1)",19
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,ADH1_T,PKG1,pfa3,ADH1_T,PKG1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1)",20
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,ADH1_T,PKG1,pfa3,ADH1_T,PKG1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1)",21
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,ADH1_T,PKG1,pfa3,ADH1_T,ADH1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1)",22
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,ADH1_T,PKG1,pfa3,ADH1_T,ADH1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1)",23
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,ADH1_T,ADH1,pfa3,PKG1_T,PKG1,PPtase_BBa_K5300011,PKG1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",24
HR_DW,PABA-UP,PKG1,pfa1,PKG1_T,PKG1,pfa2,ADH1_T,ADH1,pfa3,PKG1_T,PKG1,PPtase_BBa_K5300011,ADH1_T,Hygromycin,PABA-DW,HR_UP,"(1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1)",25
